itemId,itemName,itemQuantity,unitType,category,dateUpdated,updatedBy
1,Blue Pen,64,Pieces,Pens,2025-10-25,Shaun
2,Black Pen,48,Pieces,Pens,2025-10-25,Shaun
3,Red Pen,4,Pieces,Pens,2025-10-25,Shaun
4,A4 Notepad,100,Pieces,Books,2025-10-26,Steve
5,A5 diary,100,Pieces,Books,2025-10-26,Steve
6,Eraser,50,Pieces,Stationery,2025-10-25,notShaun
7,30cm Ruler,50,Pieces,Stationery,2025-10-26,notShaun
8,Calculator,20,Pieces,Stationery,2025-10-26,notShaun
9,Envelope,100,Pieces,Stationery,2025-10-26,notShaun
10,pen,5,pieces,stationery,2026-01-18,Shaun
11,steve,1,not really,man,2026-01-18,Shaun
13,Big pen,65,pieces,stationery,2026-01-18,Shaun
14,Small pen,100,pieces,stationery,2026-01-18,Shaun
15,Medium Pen,50,pieces,stationery,2026-01-18,Shaun
18,More pens,123,pieces,stationery,2026-01-18,Shaun
